message,attributes,tags,timestamp
    await self._serve(sockets),"{""level"":""error""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:36.715179482Z
"  File ""/app/.venv/lib/python3.12/site-packages/uvicorn/server.py"", line 78, in _serve","{""level"":""error""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:36.715185290Z
    config.load(),"{""level"":""error""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:36.715192566Z
"  File ""/app/.venv/lib/python3.12/site-packages/uvicorn/config.py"", line 439, in load","{""level"":""error""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:36.715199098Z
    self.loaded_app = import_from_string(self.app),"{""level"":""error""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:36.715210100Z
                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^,"{""level"":""error""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:36.715216587Z
"  File ""/app/.venv/lib/python3.12/site-packages/uvicorn/importer.py"", line 22, in import_from_string","{""level"":""error""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:36.715222329Z
    raise exc from None,"{""level"":""error""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:36.715227821Z
           ^^^^^^^^^^^^^^^^^^^^^^^^^,"{""level"":""error""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:36.715406582Z
"  File ""/app/.venv/lib/python3.12/site-packages/uvicorn/main.py"", line 424, in main","{""level"":""error""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:36.715412139Z
    run(,"{""level"":""error""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:36.715417419Z
"  File ""/app/.venv/lib/python3.12/site-packages/uvicorn/main.py"", line 594, in run","{""level"":""error""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:36.715423066Z
    server.run(),"{""level"":""error""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:36.715431103Z
"  File ""/app/.venv/lib/python3.12/site-packages/uvicorn/server.py"", line 67, in run","{""level"":""error""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:36.715437405Z
"    return asyncio_run(self.serve(sockets=sockets), loop_factory=self.config.get_loop_factory())","{""level"":""error""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:36.715443304Z
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^,"{""level"":""error""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:36.715447990Z
^^^^^^^^^^^^^^^^,"{""level"":""error""}","{""project"":""6b6cc013-4fd4-4a1b-8237-07d5cb47cbc8"",""environment"":""fcaa28c2-5a16-404e-a0ba-71c82882c893"",""service"":""db94d15a-fa33-46ba-bb20-79791d88aa04"",""deployment"":""624a4cd7-96f5-4798-aa68-57f1d3e37d49"",""replica"":""e402485c-ea42-4e4c-8499-c3a4857b0518""}",2026-01-03T15:44:36.715453488Z
